DESIG,OBSID,RA,DEC,SN/g,SUBCLASS
LAMOST J061648.45+115953.1,419314109,94.20191,11.998106,82.34,A
LAMOST J000500.31+171821.2,54904105,1.25133,17.3059,311.42,K
LAMOST J054730.25+424129.8,243607126,86.876053,42.691613,73.85,A
LAMOST J065513.18+021127.8,368905142,103.804943,2.191056,127.08,B
LAMOST J230358.83+291841.4,4715027,345.995145,29.311506,52.04,F
LAMOST J202334.68+363421.2,248102025,305.894509,36.572563,63.66,A
LAMOST J062605.69+192800.5,431505038,96.523732,19.466818,118.91,A
LAMOST J224001.25+320246.4,1215018,340.005214,32.046234,75.95,F
LAMOST J061149.41+245733.6,483211240,92.955881,24.959342,79.88,A
LAMOST J025146.31+012724.0,482903025,42.942974,1.456692,50.35,M
LAMOST J005036.03+354907.7,15815113,12.650129,35.818808,54.2,G
LAMOST J015930.88+011116.8,18707130,29.877671,1.188,117.17,G
LAMOST J130927.03+182612.0,49204108,197.36265,18.436693,165.58,K
LAMOST J110122.16+270254.9,14201061,165.342373,27.048603,66.25,G
LAMOST J095005.41+315220.5,18603134,147.522553,31.872375,71.34,G
LAMOST J224721.28+285642.4,1207220,341.838672,28.945116,100.33,F
LAMOST J005309.28+344539.9,15808042,13.288669,34.761094,60.95,G
LAMOST J035419.30+281326.5,1410239,58.580422,28.224048,57.27,F
LAMOST J140256.41+081857.1,50905016,210.73507,8.315887,65.97,K
LAMOST J163440.85+031756.1,453612111,248.669861,3.298943,100.72,M
LAMOST J005501.39+004722.4,55102090,13.75583,0.78957,146.67,K
LAMOST J063708.76+164534.2,327710137,99.286533,16.759518,90.64,B
LAMOST J153800.11+511423.1,53105235,234.50046,51.239754,54.12,K
LAMOST J085710.98+183454.0,48509088,134.29578,18.581678,58.76,K
LAMOST J063014.20+263829.1,901154,97.559173,26.641427,82.39,F
LAMOST J030332.82-053014.3,55312061,45.886791,-5.503997,112.51,K
LAMOST J070727.45+300510.3,209310095,106.86438,30.086212,378.04,A
LAMOST J064010.61+134445.6,526606080,100.04421,13.746023,81.11,Ap
LAMOST J095049.33+311647.2,18604184,147.705558,31.279785,92.78,G
LAMOST J053201.09+442347.4,424503217,83.004568,44.396518,54.58,A
LAMOST J080119.76+180459.7,18802132,120.33235,18.083254,51.74,G
LAMOST J064410.47-000041.2,385407087,101.043665,-0.011463,61.31,B
LAMOST J044826.81+404211.9,28006047,72.111729,40.703308,218.7,Ap
LAMOST J192727.61+392444.7,52409022,291.865083,39.412417,94.15,K
LAMOST J101350.75+283416.4,11411239,153.461488,28.57123,56.33,G
LAMOST J110311.18+064604.9,91303023,165.796619,6.768039,55.03,Ap
LAMOST J033116.37+321949.3,115803214,52.818219,32.330383,210.01,Ap
LAMOST J100432.77+053341.2,445811211,151.136545,5.561458,70.04,M
LAMOST J191434.61+255657.2,462413226,288.644219,25.949236,96.25,A
LAMOST J064655.28+043741.6,368916005,101.730357,4.628245,52.43,B
LAMOST J071409.09+045556.2,814806027,108.537901,4.932299,229.69,Ap
LAMOST J055120.68+025526.0,483603185,87.836178,2.923896,55.36,M
LAMOST J034332.21+473806.4,185211080,55.884242,47.635113,90.75,Ap
LAMOST J061825.41+233415.3,399913148,94.6067,23.57145,420.54,B
LAMOST J060059.89+221343.6,399910089,90.249543,22.228779,119.11,A
LAMOST J060526.66+220000.8,293006170,91.361089,22.000244,73.42,Ap
LAMOST J110015.25+310340.5,14211171,165.063574,31.061251,96.94,G
LAMOST J060915.01+232203.3,399904028,92.312567,23.367611,110.9,A
LAMOST J010801.07+570827.5,469313068,17.004466,57.140981,77.05,A
LAMOST J094638.39+322325.9,18614077,146.659997,32.390553,74.42,G
LAMOST J224845.64+304821.8,1206031,342.190204,30.806057,79.35,F
LAMOST J105651.66+281913.0,14210223,164.215292,28.320284,73.44,G
LAMOST J131449.25+280937.3,51309222,198.705215,28.160375,58.66,K
LAMOST J061236.59+232714.8,399909213,93.152463,23.454124,142.45,B
LAMOST J033838.40+045326.6,6605106,54.660023,4.890749,73.88,F
LAMOST J100634.41+290953.0,50406091,151.643416,29.164724,50.45,K
