obsid,designation,snrg,class,subclass,gaia_source_id,ra,dec,teff,teff_err,feh_err,feh,logg_err,logg,spectral_type,quality,Teff,Feh,Logg
1146814119,J033820.19+603724.0,101.19,STAR,A3,474387251042797184,54.584161,60.6233411,12156.3,35.18,0.028,0.955,0.049,3.958,B9 II-III  Si,good,12156.3¡À35.18,0.955¡À0.028,3.958¡À0.049
1143204138,J203044.52+330328.8,94.99,STAR,A1,1863714682029478144,307.6855121,33.0580145,12160.9,33.76,0.027,0.604,0.047,4.059,B8 V  Si,good,12160.9¡À33.76,0.604¡À0.027,4.059¡À0.047
574208071,J190243.98+342300.8,155.45,STAR,A2,2044455083454787584,285.683274,34.3835686,12166.3,21.76,0.016,0.477,0.029,4.086,B7 V  Si,vgood,12166.3¡À21.76,0.477¡À0.016,4.086¡À0.029
1170806224,J020259.33+624046.6,83.2,STAR,A2,508822370391043072,30.747234,62.67963,12168.1,32.57,0.027,0.826,0.046,4.216,B9.5 II-III  Si,good,12168.1¡À32.57,0.826¡À0.027,4.216¡À0.046
1207109112,J053528.75+331339.9,119.39,STAR,A1,3448893927355533952,83.869793,33.2277692,12176.4,32.5,0.025,0.795,0.044,3.954,B8 IV  Si,vgood,12176.4¡À32.5,0.795¡À0.025,3.954¡À0.044
203804221,J061215.80+141005.5,175.93,STAR,A2,3344462755333713408,93.065852,14.168215,12183.6,17.22,0.012,0.489,0.022,4.005,Unclassifiable,,12183.6¡À17.22,0.489¡À0.012,4.005¡À0.022
408708102,J033636.45+450412.7,156.51,STAR,A2,244697485293177344,54.15251694,45.07009861,12194.7,17.35,0.012,0.512,0.023,4.132,B9 III  Si,vgood,12194.7¡À17.35,0.512¡À0.012,4.132¡À0.023
393116125,J032438.25+511729.0,74.92,STAR,A2,442678332129311104,51.15938,51.2914033,12199.7,32.67,0.027,0.66,0.046,3.842,A0 II,vgood,12199.7¡À32.67,0.66¡À0.027,3.842¡À0.046
697703144,J062048.02+230015.0,105.84,STAR,A2,3377430168382244096,95.2001094,23.0041797,12204.9,53.58,0.043,0.948,0.074,3.999,B8 IV-V  Si,vgood,12204.9¡À53.58,0.948¡À0.043,3.999¡À0.074
842409155,J045157.56+380848.1,157.7,STAR,A1,198692162139865216,72.989855,38.1467101,12208.9,20.43,0.015,0.667,0.027,4.075,B8 IV  Si,vgood,12208.9¡À20.43,0.667¡À0.015,4.075¡À0.027
1146715122,J235219.97+625441.7,97.61,STAR,A1,2016068407647614080,358.0832135,62.9115844,12213.2,30.13,0.024,0.835,0.042,4.032,kA0hF1mG1,,12213.2¡À30.13,0.835¡À0.024,4.032¡À0.042
257011212,J050132.55+415904.9,63.11,STAR,A2,201785711124794880,75.385629,41.984719,12214.7,38.31,0.033,0.564,0.054,4.031,B9.5 II-III  Si,vgood,12214.7¡À38.31,0.564¡À0.033,4.031¡À0.054
647615104,J061550.98+105906.3,173.61,STAR,A2,-9999,93.96349417,10.98449556,12216.9,20.84,0.014,0.744,0.027,4.079,B7 IV-V  Si,vgood,12216.9¡À20.84,0.744¡À0.014,4.079¡À0.027
837614212,J214602.59+544230.1,103.78,STAR,A1,2174689693149366912,326.510823,54.708388,12219.5,50.5,0.04,0.969,0.07,3.819,B8 IV  Si,good,12219.5¡À50.5,0.969¡À0.04,3.819¡À0.07
1146910088,J033904.18+600148.3,62.53,STAR,A1,474306299501052928,54.7674497,60.0300914,12221.1,30.22,0.026,0.573,0.043,3.685,B7 V  Si,vgood,12221.1¡À30.22,0.573¡À0.026,3.685¡À0.043
649401242,J044533.35+185741.8,147.44,STAR,A1,-9999,71.38765083,18.96161972,12224.8,48.01,0.035,0.893,0.064,3.976,B8 III-IV  Si,vgood,12224.8¡À48.01,0.893¡À0.035,3.976¡À0.064
